model,dataset,lookback,horizon,mse_mean,mse_std,mae_mean,mae_std,params,flops,sec_per_epoch,peak_mem,n_seeds
naive,ETTh1,96,96,1.294371,0.0,0.713181,0.0,0,0,0.0,0.4000000000000001,3
naive,ETTh1,96,192,1.32488,0.0,0.733101,0.0,0,0,0.0,67.9,3
naive,ETTh1,96,336,1.329927,0.0,0.745972,0.0,0,0,0.0,68.4,3
naive,ETTh1,96,720,1.335121,0.0,0.755045,0.0,0,0,0.0,69.8,3
naive,ETTh1,336,96,1.294371,0.0,0.713181,0.0,0,0,0.0,0.6,3
naive,ETTh1,336,192,1.32488,0.0,0.733101,0.0,0,0,0.0,68.1,3
naive,ETTh1,336,336,1.329927,0.0,0.745972,0.0,0,0,0.0,68.6,3
naive,ETTh1,336,720,1.335121,0.0,0.755045,0.0,0,0,0.0,70.0,3
naive,ETTh2,96,96,0.431657,0.0,0.421621,0.0,0,0,0.0,67.5,3
naive,ETTh2,96,192,0.533722,0.0,0.47253799999999996,0.0,0,0,0.0,67.9,3
naive,ETTh2,96,336,0.597277,0.0,0.510865,0.0,0,0,0.0,68.4,3
naive,ETTh2,96,720,0.594472,0.0,0.518991,0.0,0,0,0.0,69.8,3
naive,ETTh2,336,96,0.431657,0.0,0.421621,0.0,0,0,0.0,67.8,3
naive,ETTh2,336,192,0.533722,0.0,0.47253799999999996,0.0,0,0,0.0,68.1,3
naive,ETTh2,336,336,0.597277,0.0,0.510865,0.0,0,0,0.0,68.6,3
naive,ETTh2,336,720,0.594472,0.0,0.518991,0.0,0,0,0.0,70.0,3
naive,ETTm1,96,96,1.213897,0.0,0.664785,0.0,0,0,0.0,67.5,3
naive,ETTm1,96,192,1.261195,0.0,0.690363,0.0,0,0,0.0,67.9,3
naive,ETTm1,96,336,1.286579,0.0,0.7072379999999999,0.0,0,0,0.0,68.4,3
naive,ETTm1,96,720,1.322312,0.0,0.7294680000000001,0.0,0,0,0.0,69.8,3
naive,ETTm1,336,96,1.213897,0.0,0.664785,0.0,0,0,0.0,67.8,3
naive,ETTm1,336,192,1.261195,0.0,0.690363,0.0,0,0,0.0,68.1,3
