model,dataset,lookback,horizon,seed,test_mse,test_mae,val_mse,params,flops_per_series,sec_per_epoch,peak_gpu_mem_mb,epochs_run,lookback_label
rlinear,ETTh2,336,192,2023,0.341244,0.382265,0.274361,64706,129024,1.0295,71.1,9,L336
fits,ETTh2,336,192,2021,0.344011,0.383056,0.290037,5676,22176,0.9697,71.6,19,L336
fits,ETTh2,336,192,2022,0.344897,0.383866,0.291170,5676,22176,0.9500,71.6,19,L336
fits,ETTh2,336,192,2023,0.344494,0.383473,0.290354,5676,22176,0.9298,71.6,19,L336
freqlite,ETTh2,336,192,2021,0.342007,0.380716,0.267878,129989,314444,1.7224,74.0,6,L336
freqlite,ETTh2,336,192,2022,0.335949,0.377627,0.270176,129989,314444,1.6534,74.0,10,L336
freqlite,ETTh2,336,192,2023,0.340414,0.381629,0.272090,129989,314444,1.7558,74.0,5,L336
patchtst,ETTh2,336,192,2021,0.419955,0.423354,0.313758,587010,0,3.3125,158.4,4,L336
patchtst,ETTh2,336,192,2022,0.452816,0.442997,0.316446,587010,0,3.3291,158.4,6,L336
patchtst,ETTh2,336,192,2023,0.395627,0.419331,0.303000,587010,0,3.3322,158.4,4,L336
naive,ETTh2,336,336,2021,0.597277,0.510865,0.477049,0,0,0.0000,68.6,0,L336
naive,ETTh2,336,336,2022,0.597277,0.510865,0.477049,0,0,0.0000,68.6,0,L336
naive,ETTh2,336,336,2023,0.597277,0.510865,0.477049,0,0,0.0000,68.6,0,L336
nlinear,ETTh2,336,336,2021,0.398194,0.421145,0.367262,113232,225792,0.6468,73.0,5,L336
nlinear,ETTh2,336,336,2022,0.371800,0.409423,0.368060,113232,225792,0.6434,73.0,7,L336
nlinear,ETTh2,336,336,2023,0.383344,0.415237,0.363805,113232,225792,0.6706,73.0,6,L336
dlinear,ETTh2,336,336,2021,0.464075,0.475260,0.407833,226464,451584,0.7696,75.4,4,L336
dlinear,ETTh2,336,336,2022,0.451328,0.465863,0.408804,226464,451584,0.7642,75.4,4,L336
dlinear,ETTh2,336,336,2023,0.454807,0.467076,0.396190,226464,451584,0.8257,75.4,7,L336
rlinear,ETTh2,336,336,2021,0.364612,0.405118,0.362323,113234,225792,0.9707,72.7,8,L336
rlinear,ETTh2,336,336,2022,0.370527,0.407616,0.362417,113234,225792,0.9678,72.7,5,L336
rlinear,ETTh2,336,336,2023,0.371721,0.408943,0.359617,113234,225792,0.9773,72.7,6,L336
fits,ETTh2,336,336,2021,0.364581,0.401674,0.384799,7224,28224,0.9301,72.8,19,L336
fits,ETTh2,336,336,2022,0.363902,0.401301,0.385220,7224,28224,0.9126,72.8,19,L336
fits,ETTh2,336,336,2023,0.363856,0.401110,0.384256,7224,28224,0.9032,72.8,19,L336
freqlite,ETTh2,336,336,2021,0.361597,0.401917,0.357097,227477,507980,1.6370,76.8,7,L336
freqlite,ETTh2,336,336,2022,0.361532,0.401858,0.357586,227477,507980,1.6517,76.8,7,L336
freqlite,ETTh2,336,336,2023,0.362904,0.402544,0.356106,227477,507980,1.6191,76.8,7,L336
patchtst,ETTh2,336,336,2021,0.434927,0.442848,0.396380,974226,0,3.3716,165.1,5,L336
patchtst,ETTh2,336,336,2022,0.425783,0.437664,0.410073,974226,0,3.3391,165.1,4,L336
patchtst,ETTh2,336,336,2023,0.436068,0.438458,0.400495,974226,0,3.3280,165.1,4,L336
naive,ETTh2,336,720,2021,0.594472,0.518991,0.740687,0,0,0.0000,70.0,0,L336
naive,ETTh2,336,720,2022,0.594472,0.518991,0.740687,0,0,0.0000,70.0,0,L336
naive,ETTh2,336,720,2023,0.594472,0.518991,0.740687,0,0,0.0000,70.0,0,L336
nlinear,ETTh2,336,720,2021,0.414724,0.444924,0.610492,242640,483840,0.6362,77.1,4,L336
nlinear,ETTh2,336,720,2022,0.403676,0.441381,0.609708,242640,483840,0.6412,77.1,7,L336
nlinear,ETTh2,336,720,2023,0.402396,0.440931,0.613093,242640,483840,0.6441,77.1,13,L336
dlinear,ETTh2,336,720,2021,0.717472,0.601356,0.673535,485280,967680,0.7516,81.9,6,L336
dlinear,ETTh2,336,720,2022,0.714615,0.599930,0.664458,485280,967680,0.7803,81.9,8,L336
dlinear,ETTh2,336,720,2023,0.669935,0.580578,0.661195,485280,967680,0.7650,81.9,4,L336
rlinear,ETTh2,336,720,2021,0.395900,0.433245,0.607783,242642,483840,0.8355,77.7,9,L336
rlinear,ETTh2,336,720,2022,0.396169,0.433150,0.605583,242642,483840,0.8411,77.7,7,L336
rlinear,ETTh2,336,720,2023,0.397559,0.433635,0.605598,242642,483840,0.8245,77.7,6,L336
fits,ETTh2,336,720,2021,0.391380,0.427000,0.651303,11352,44352,0.9573,76.1,20,L336
fits,ETTh2,336,720,2022,0.390888,0.426719,0.650927,11352,44352,0.9858,76.1,20,L336
fits,ETTh2,336,720,2023,0.391535,0.427160,0.651417,11352,44352,0.9952,76.1,20,L336
freqlite,ETTh2,336,720,2021,0.391594,0.429896,0.604175,487445,1024076,1.6781,85.8,20,L336
freqlite,ETTh2,336,720,2022,0.394882,0.431225,0.603207,487445,1024076,1.6412,85.8,5,L336
freqlite,ETTh2,336,720,2023,0.391945,0.430010,0.603273,487445,1024076,1.6809,85.8,8,L336
patchtst,ETTh2,336,720,2021,0.438481,0.455937,0.658582,2006802,0,3.3977,183.4,4,L336
patchtst,ETTh2,336,720,2022,0.406393,0.439868,0.658193,2006802,0,3.3711,183.4,4,L336
patchtst,ETTh2,336,720,2023,0.418093,0.444598,0.682525,2006802,0,3.3837,183.4,4,L336
naive,ETTm1,336,96,2021,1.213897,0.664785,1.249652,0,0,0.0000,67.8,0,L336
naive,ETTm1,336,96,2022,1.213897,0.664785,1.249652,0,0,0.0000,67.8,0,L336
naive,ETTm1,336,96,2023,1.213897,0.664785,1.249652,0,0,0.0000,67.8,0,L336
nlinear,ETTm1,336,96,2021,0.302889,0.344742,0.390734,32352,64512,2.7664,70.4,8,L336
nlinear,ETTm1,336,96,2022,0.306063,0.348037,0.389657,32352,64512,2.7745,70.4,6,L336
nlinear,ETTm1,336,96,2023,0.305856,0.347816,0.390799,32352,64512,2.8191,70.4,8,L336
dlinear,ETTm1,336,96,2021,0.299964,0.343433,0.380239,64704,129024,3.5441,71.3,9,L336
dlinear,ETTm1,336,96,2022,0.301302,0.344318,0.381058,64704,129024,3.4710,71.3,7,L336
dlinear,ETTm1,336,96,2023,0.299532,0.343562,0.381428,64704,129024,3.2613,71.3,12,L336
rlinear,ETTm1,336,96,2021,0.303292,0.344987,0.389572,32354,64512,3.6755,70.1,7,L336
rlinear,ETTm1,336,96,2022,0.302055,0.344020,0.389153,32354,64512,3.6471,70.1,8,L336
rlinear,ETTm1,336,96,2023,0.309402,0.349744,0.391752,32354,64512,3.7122,70.1,5,L336
fits,ETTm1,336,96,2021,0.303709,0.345712,0.395406,4644,18144,4.0426,70.8,18,L336
fits,ETTm1,336,96,2022,0.303908,0.345854,0.394967,4644,18144,3.9465,70.8,7,L336
fits,ETTm1,336,96,2023,0.303344,0.345771,0.395028,4644,18144,3.8765,70.8,7,L336
freqlite,ETTm1,336,96,2021,0.301552,0.343382,0.386994,64997,185420,7.0397,72.5,9,L336
freqlite,ETTm1,336,96,2022,0.303579,0.344721,0.387902,64997,185420,6.9547,72.5,7,L336
freqlite,ETTm1,336,96,2023,0.300940,0.343076,0.388516,64997,185420,7.3066,72.5,9,L336
patchtst,ETTm1,336,96,2021,0.313854,0.358883,0.391209,328866,0,14.1054,154.1,9,L336
patchtst,ETTm1,336,96,2022,0.288445,0.343849,0.373039,328866,0,14.1335,154.1,5,L336
patchtst,ETTm1,336,96,2023,0.304921,0.354388,0.392966,328866,0,14.0625,154.1,7,L336
